Order	Family	Genus	Species	Red_List_status	Population_trend	IUCN.NUM	POP.NUM	Suit0k	Suit21k	Range0k	Range21k	DeltaRange	LogDR	DeltaSuit	LogDS	AdultBodyMass_g	LogBMg	GroupBMg
RODENTIA	SCIURIDAE	Petaurista	Petaurista_philippensis	LC	decreasing	0	1	0.498093003	0.641092882	1659	2560	-0.351953125	-0.433792247	-0.223056413	-0.252387535	1675.83	7.424063844	7
RODENTIA	SCIURIDAE	Petinomys	Petinomys_crinitus	LC	stable	0	0	0.91911109	0.734423746	44	17	1.588235294	0.95097629	0.251472457	0.224320824	113	4.727387819	5
RODENTIA	SCIURIDAE	Petinomys	Petinomys_fuscocapillus	LC	decreasing	0	1	0.81721129	0.73783889	52	23	1.260869565	0.815749503	0.107574161	0.102172183	794.5	6.677712986	7
RODENTIA	SCIURIDAE	Petinomys	Petinomys_genibarbis	VU	decreasing	1	1	0.775903505	0.550541731	478	165	1.896969697	1.063665259	0.409345489	0.343125404	108.81	4.689603242	5
RODENTIA	SCIURIDAE	Petinomys	Petinomys_mindanensis	LC	unknown	0	NA	0.891455916	0.738309293	50	22	1.272727273	0.820980552	0.207428816	0.188493153	246.4344257	5.507095937	6
RODENTIA	SCIURIDAE	Petinomys	Petinomys_sagitta	DD	unknown	NA	NA	0.748625157	0.794211457	56	31	0.806451613	0.591364486	-0.057398189	-0.059111344	49.99	3.911822985	4
RODENTIA	SCIURIDAE	Petinomys	Petinomys_setosus	VU	decreasing	1	1	0.73286047	0.606377218	762	714	0.067226891	0.065063593	0.208588396	0.189453064	43.85	3.780774719	4
RODENTIA	SCIURIDAE	Petinomys	Petinomys_vordermanni	VU	decreasing	1	1	0.638208727	0.555224501	463	474	-0.023206751	-0.023480268	0.149460671	0.13929285	36.87	3.607398212	4
RODENTIA	CRICETIDAE	Phaiomys	Phaiomys_leucurus	LC	unknown	0	NA	0.869119304	0.896289417	41	45	-0.088888889	-0.093090423	-0.030313995	-0.030782966	50.70642739	3.926052676	4
CHIROPTERA	VESPERTILIONIDAE	Philetor	Philetor_brachypterus	LC	unknown	0	NA	0.653083535	0.534889299	733	667	0.098950525	0.094355656	0.220969528	0.199645238	12	2.48490665	2
RODENTIA	MURIDAE	Phloeomys	Phloeomys_cumingi	VU	decreasing	1	1	0.764429743	0.725264396	26	14	0.857142857	0.619039208	0.054001476	0.05259385	1842.46	7.518856914	8
RODENTIA	MURIDAE	Phloeomys	Phloeomys_pallidus	LC	stable	0	0	0.7250095	0.716211042	34	32	0.0625	0.060624622	0.012284728	0.012209883	1744.14	7.464016876	7
CHIROPTERA	VESPERTILIONIDAE	Phoniscus	Phoniscus_atrox	NT	decreasing	0	1	0.598082574	0.355161499	205	136	0.507352941	0.410355093	0.683973563	0.521156217	4.81	1.570697084	2
CHIROPTERA	VESPERTILIONIDAE	Phoniscus	Phoniscus_jagorii	LC	unknown	0	NA	0.537774274	0.668323825	477	1020	-0.532352941	-0.760041415	-0.195338766	-0.217333917	4.7	1.547562509	2
CHIROPTERA	VESPERTILIONIDAE	Pipistrellus	Pipistrellus_abramus	LC	stable	0	0	0.946818256	0.852260403	763	629	0.213036566	0.193126775	0.110949486	0.105215042	5.87	1.769854634	2
CHIROPTERA	VESPERTILIONIDAE	Pipistrellus	Pipistrellus_alaschanicus	LC	unknown	0	NA	0.793735878	0.830930435	206	180	0.144444444	0.134919318	-0.04476254	-0.04579532	5.93375	1.780656391	2
CHIROPTERA	VESPERTILIONIDAE	Pipistrellus	Pipistrellus_cadornae	LC	unknown	0	NA	0.47947063	0.548813514	532	819	-0.35042735	-0.431440595	-0.12635054	-0.13507606	5.93375	1.780656391	2
CHIROPTERA	VESPERTILIONIDAE	Pipistrellus	Pipistrellus_ceylonicus	LC	stable	0	0	0.707302339	0.59855554	1465	1317	0.112376614	0.10649882	0.181682052	0.166938892	8.05	2.085672091	2
CHIROPTERA	VESPERTILIONIDAE	Pipistrellus	Pipistrellus_coromandra	LC	unknown	0	NA	0.749356412	0.76286109	1603	1671	-0.040694195	-0.041545376	-0.017702671	-0.017861237	4.59	1.523880024	2
CHIROPTERA	VESPERTILIONIDAE	Pipistrellus	Pipistrellus_imbricatus	LC	unknown	0	NA	0.514152643	0.740210337	72	228	-0.684210526	-1.15267951	-0.305396565	-0.364414194	5.93375	1.780656391	2
CHIROPTERA	VESPERTILIONIDAE	Pipistrellus	Pipistrellus_javanicus	LC	stable	0	0	0.724272874	0.748372978	1673	1826	-0.083789704	-0.08750936	-0.032203332	-0.032733268	4.92	1.593308531	2
CHIROPTERA	VESPERTILIONIDAE	Hypsugo	Pipistrellus_joffrei	DD	unknown	NA	NA	0.672191921	0.912367637	10	60	-0.833333333	-1.791759469	-0.263244449	-0.305499123	5.93375	1.780656391	2
CHIROPTERA	VESPERTILIONIDAE	Hypsugo	Pipistrellus_kitcheneri	DD	unknown	NA	NA	0.713823602	0.612884637	125	52	1.403846154	0.877070019	0.164694885	0.152459151	5.93375	1.780656391	2
CHIROPTERA	VESPERTILIONIDAE	Pipistrellus	Pipistrellus_kuhlii	LC	unknown	0	NA	0.892534093	0.838183259	82	39	1.102564103	0.743157601	0.064843616	0.062827949	6.07	1.803358605	2
CHIROPTERA	VESPERTILIONIDAE	Hypsugo	Pipistrellus_macrotis	DD	unknown	NA	NA	0.699409203	0.646995491	110	115	-0.043478261	-0.044451763	0.081010938	0.077896657	5.93375	1.780656391	2
CHIROPTERA	VESPERTILIONIDAE	Pipistrellus	Pipistrellus_paterculus	LC	unknown	0	NA	0.663689795	0.724229292	748	855	-0.125146199	-0.133698491	-0.083591616	-0.08729318	5.93375	1.780656391	2
CHIROPTERA	VESPERTILIONIDAE	Pipistrellus	Pipistrellus_pipistrellus	LC	stable	0	0	0.580946243	0.630823077	975	1378	-0.29245283	-0.345950981	-0.079066279	-0.082367209	5.3	1.667706821	2
CHIROPTERA	VESPERTILIONIDAE	Pipistrellus	Pipistrellus_pulveratus	LC	unknown	0	NA	0.776720982	0.784935472	897	1012	-0.113636364	-0.120627988	-0.010465179	-0.010520324	5.93375	1.780656391	2
CHIROPTERA	VESPERTILIONIDAE	Hypsugo	Pipistrellus_savii	LC	stable	0	0	0.970056728	0.839957369	37	23	0.608695652	0.475423697	0.154888051	0.144003414	5.93375	1.780656391	2
CHIROPTERA	VESPERTILIONIDAE	Pipistrellus	Pipistrellus_stenopterus	LC	unknown	0	NA	0.620480411	0.306211528	315	186	0.693548387	0.526825965	1.026313033	0.706217902	15.67	2.751748056	3
CHIROPTERA	VESPERTILIONIDAE	Pipistrellus	Pipistrellus_tenuis	LC	stable	0	0	0.71875066	0.701317638	2793	2997	-0.068068068	-0.070495501	0.024857527	0.024553605	3.48	1.247032294	1
CHIROPTERA	VESPERTILIONIDAE	Hypsugo	Pipistrellus_vordermanni	DD	unknown	NA	NA	0.937970869	0.610552258	11	2	4.5	1.704748092	0.536266316	0.429355003	5.93375	1.780656391	2
RODENTIA	MURIDAE	Pithecheir	Pithecheir_parvus	DD	unknown	NA	NA	0.829687931	0.305884857	53	11	3.818181818	1.572396641	1.712419103	0.997840895	108	4.682131227	5
RODENTIA	PLATACANTHOMYIDAE	Platacanthomys	Platacanthomys_lasiurus	VU	decreasing	1	1	0.707899666	0.754244501	42	49	-0.142857143	-0.15415068	-0.061445373	-0.063414218	163	5.093750201	5
CHIROPTERA	VESPERTILIONIDAE	Plecotus	Plecotus_taivanus	NT	decreasing	0	1	0.908665453	0.51331905	18	2	8	2.197224577	0.770176761	0.571079407	7.47	2.010894999	2
EULIPOTYPHLA	ERINACEIDAE	Podogymnura	Podogymnura_truei	LC	stable	0	0	0.917168733	0.75018772	17	7	1.428571429	0.887303195	0.222585639	0.200967992	114	4.736198448	5
PRIMATES	HOMINIDAE	Pongo	Pongo_abelii	CR	decreasing	1	1	0.861414076	0.739562182	25	18	0.388888889	0.328504067	0.164762201	0.152516947	39696.12	10.58900873	11
PRIMATES	HOMINIDAE	Pongo	Pongo_pygmaeus	CR	decreasing	1	1	0.936572662	0.41060171	193	12	15.08333333	2.777783539	1.280976038	0.824603438	53408.29	10.88572126	11
PRIMATES	CERCOPITHECIDAE	Presbytis	Presbytis_chrysomelas	CR	decreasing	1	1	0.886753645	0.505915147	101	7	13.42857143	2.669210368	0.752771487	0.561198242	6630	8.799360083	9
PRIMATES	CERCOPITHECIDAE	Presbytis	Presbytis_comata	EN	decreasing	1	1	0.416069783	0.863451518	30	107	-0.719626168	-1.271631453	-0.518131853	-0.730084756	6550.07	8.787231016	9
PRIMATES	CERCOPITHECIDAE	Presbytis	Presbytis_femoralis	NT	decreasing	0	1	0.480658513	0.397689613	403	440	-0.084090909	-0.087838165	0.208627277	0.189485233	7026.91	8.857502343	9
PRIMATES	CERCOPITHECIDAE	Presbytis	Presbytis_frontata	VU	decreasing	1	1	0.947444901	0.557053483	169	4	41.25	3.743604354	0.700814967	0.531107529	6096.6	8.715486518	9
PRIMATES	CERCOPITHECIDAE	Presbytis	Presbytis_hosei	VU	decreasing	1	1	0.518830553	0.319867041	163	88	0.852272727	0.616413386	0.62201942	0.483671928	6277.78	8.744771694	9
PRIMATES	CERCOPITHECIDAE	Presbytis	Presbytis_melalophos	EN	decreasing	1	1	0.777368	0.481391579	134	29	3.620689655	1.53054397	0.614835061	0.479232822	6439.12	8.770147164	9
PRIMATES	CERCOPITHECIDAE	Presbytis	Presbytis_rubicunda	LC	decreasing	0	1	0.803381867	0.465269324	242	56	3.321428571	1.463586035	0.726702848	0.546213722	6348.53	8.755978569	9
PRIMATES	CERCOPITHECIDAE	Presbytis	Presbytis_siamensis	NT	decreasing	0	1	0.692955219	0.369043458	123	21	4.857142857	1.767661918	0.877706284	0.63005097	5895.06	8.681869991	9
PRIMATES	CERCOPITHECIDAE	Presbytis	Presbytis_thomasi	VU	decreasing	1	1	0.482518203	0.650096302	38	99	-0.616161616	-0.95753369	-0.25777427	-0.298101864	6689.99	8.808367658	9
CARNIVORA	FELIDAE	Prionailurus	Prionailurus_bengalensis	LC	stable	0	0	0.667173721	0.784485485	2927	3241	-0.096883678	-0.101903916	-0.149539751	-0.161977607	2780.97	7.930555067	8
CARNIVORA	FELIDAE	Prionailurus	Prionailurus_planiceps	EN	decreasing	1	1	0.517581094	0.219773938	726	299	1.428093645	0.887106441	1.355061289	0.856566752	3533.76	8.170117739	8
CARNIVORA	FELIDAE	Prionailurus	Prionailurus_rubiginosus	NT	decreasing	0	1	0.92239042	0.56806729	682	177	2.853107345	1.348879925	0.623734434	0.484728703	1418.75	7.257531481	7
CARNIVORA	FELIDAE	Prionailurus	Prionailurus_viverrinus	VU	decreasing	1	1	0.402668564	0.446508947	1850	2241	-0.17447568	-0.191736556	-0.098184782	-0.103345638	8826.46	9.085509307	9
CARNIVORA	PRIONODONTIDAE	Prionodon	Prionodon_linsang	LC	decreasing	0	1	0.903490032	0.709187581	694	653	0.062787136	0.060894831	0.273978925	0.242145015	684.83	6.529170632	7
CARNIVORA	PRIONODONTIDAE	Prionodon	Prionodon_pardicolor	LC	decreasing	0	1	0.551012329	0.723513097	1164	1825	-0.362191781	-0.449717638	-0.238421071	-0.272361463	1142.68	7.04113166	7
CETARTIODACTYLA	BOVIDAE	Procapra	Procapra_picticaudata	NT	decreasing	0	1	0.629805357	0.781324303	17	42	-0.595238095	-0.904456274	-0.193925807	-0.215579489	23197.67	10.05180712	10
CETARTIODACTYLA	BOVIDAE	Pseudois	Pseudois_nayaur	LC	unknown	0	NA	0.878906158	0.876347718	43	44	-0.022727273	-0.022989518	0.002919435	0.002915181	52334.57	10.86541243	11
CETARTIODACTYLA	BOVIDAE	Pseudoryx	Pseudoryx_nghetinhensis	CR	NA	1	NA	0.601733846	0.522527278	161	145	0.110344828	0.104670623	0.151583604	0.141138042	97842.2	11.49111126	11
CHIROPTERA	PTEROPODIDAE	Ptenochirus	Ptenochirus_jagori	LC	stable	0	0	0.817417957	0.49711911	167	22	6.590909091	2.026951359	0.644310068	0.497320885	79.18	4.371723742	4
CHIROPTERA	PTEROPODIDAE	Ptenochirus	Ptenochirus_minor	LC	stable	0	0	0.889137478	0.74169422	79	27	1.925925926	1.073610986	0.198792514	0.181314812	47.02	3.850573043	4
RODENTIA	SCIURIDAE	Pteromyscus	Pteromyscus_pulverulentus	EN	decreasing	1	1	0.227931122	0.121778009	977	665	0.469172932	0.384699611	0.871693621	0.6268437	251.3	5.526647445	6
CHIROPTERA	PTEROPODIDAE	Pteropus	Pteropus_alecto	LC	stable	0	0	0.498231636	0.903266925	4	32	-0.875	-2.079441542	-0.448411513	-0.594953005	610.13	6.413672049	6
CHIROPTERA	PTEROPODIDAE	Pteropus	Pteropus_dasymallus	NT	decreasing	0	1	0.912764728	0.469670229	17	3	4.666666667	1.734601055	0.943416193	0.664447349	491.86	6.198194123	6
CHIROPTERA	PTEROPODIDAE	Pteropus	Pteropus_giganteus	LC	decreasing	0	1	0.884530906	0.695947966	1430	1099	0.301182894	0.263273769	0.270972759	0.239782559	824.85	6.715201552	7
CHIROPTERA	PTEROPODIDAE	Pteropus	Pteropus_hypomelanus	LC	decreasing	0	1	0.672904199	0.403172166	180	100	0.8	0.587786665	0.669024441	0.512239289	435.61	6.076747348	6
CHIROPTERA	PTEROPODIDAE	Pteropus	Pteropus_intermedius	DD	unknown	NA	NA	0.843164631	0.840196646	39	23	0.695652174	0.52806743	0.003532488	0.003526263	452.5545	6.114908198	6
CHIROPTERA	PTEROPODIDAE	Pteropus	Pteropus_leucopterus	LC	decreasing	0	1	0.502136129	0.574154417	112	147	-0.238095238	-0.271933715	-0.125433658	-0.134027124	343.81	5.840089179	6
CHIROPTERA	PTEROPODIDAE	Pteropus	Pteropus_lylei	VU	decreasing	1	1	0.724076566	0.598282608	162	120	0.35	0.300104592	0.210258423	0.19083391	319.75	5.76753944	6
CHIROPTERA	PTEROPODIDAE	Pteropus	Pteropus_pumilus	NT	decreasing	0	1	0.938641834	0.411298792	74	2	36	3.610917913	1.282140996	0.825114036	184.05	5.21520746	5
CHIROPTERA	PTEROPODIDAE	Pteropus	Pteropus_vampyrus	NT	decreasing	0	1	0.97447553	0.744079865	804	390	1.061538462	0.72345253	0.309638354	0.269751033	1027.54	6.934922875	7
SCANDENTIA	PTILOCERCIDAE	Ptilocercus	Ptilocercus_lowii	LC	decreasing	0	1	0.316512462	0.177918145	627	517	0.212765957	0.192903666	0.778977979	0.57603903	42.5	3.749504076	4
PRIMATES	CERCOPITHECIDAE	Pygathrix	Pygathrix_cinerea	CR	decreasing	1	1	0.654127823	0.744852706	15	18	-0.166666667	-0.182321557	-0.121802447	-0.129883708	10050	9.215327913	9
PRIMATES	CERCOPITHECIDAE	Pygathrix	Pygathrix_nemaeus	EN	decreasing	1	1	0.765068692	0.420149103	100	40	1.5	0.916290732	0.820945675	0.599355968	9411.1	9.149645123	9
PRIMATES	CERCOPITHECIDAE	Pygathrix	Pygathrix_nigripes	EN	decreasing	1	1	0.740901685	0.529392748	45	23	0.956521739	0.671168274	0.399531232	0.336137346	10333.32	9.243128904	9
RODENTIA	MURIDAE	Rattus	Rattus_andamanensis	LC	stable	0	0	0.584920546	0.727851884	929	1430	-0.35034965	-0.431320984	-0.196374209	-0.218621553	140	4.941642423	5
RODENTIA	MURIDAE	Rattus	Rattus_annandalei	LC	decreasing	0	1	0.837566427	0.474975079	63	16	2.9375	1.370546004	0.76339026	0.56723824	197.49	5.28568795	5
RODENTIA	MURIDAE	Rattus	Rattus_argentiventer	LC	stable	0	0	0.921725976	0.75989452	922	804	0.146766169	0.136945954	0.212965684	0.193068339	165.37	5.108185388	5
RODENTIA	MURIDAE	Rattus	Rattus_baluensis	LC	stable	0	0	0.597174226	0.945014189	4	26	-0.846153846	-1.871802177	-0.36807909	-0.458991035	107.5	4.677490848	5
RODENTIA	MURIDAE	Rattus	Rattus_blangorum	DD	unknown	NA	NA	0.873233338	0.825008938	4	3	0.333333333	0.287682072	0.058453184	0.056808582	156.8354333	5.05519706	5
RODENTIA	MURIDAE	Rattus	Rattus_everetti	LC	stable	0	0	0.890115248	0.537325909	168	8	20	3.044522438	0.656564914	0.504746129	253.53	5.535482159	6
RODENTIA	MURIDAE	Rattus	Rattus_exulans	LC	stable	0	0	0.902907686	0.830601539	1339	1271	0.05350118	0.052119075	0.087052748	0.083470133	50.63	3.924544286	4
